Actor,Betweenness
David Franklin,0.0
Robyn Nevin,0.0
Clayton Watson,0.0
Leigh Whannell,0.0
Anthony Zerbe,0.0
Mary Alice,0.0
Bruce Willis,0.0
John Travolta,0.0
Harvey Keitel,0.0
Uma Thurman,0.0
Eric Stoltz,0.0
Ving Rhames,0.0
Tim Roth,0.0
Amanda Plummer,0.0
Maria de Medeiros,0.0
Rosanna Arquette,0.0
Duane Whitaker,0.0
Frank Whaley,0.0
Christopher Walken,0.0
Julia Sweeney,0.0
Quentin Tarantino,0.0
Alexis Arquette,0.0
Bronagh Gallagher,0.0
Phil LaMarr,0.0
Burr Steers,0.0
Joseph Pilato,0.0
Lawrence Bender,0.0
Kathy Griffin,0.0
Roger Avary,0.0
Gabriela Cowperthwaite,0.0
Halle Berry,0.0
Susan Sarandon,0.0
Hugh Grant,0.0
Keith David,0.0
James D'Arcy,0.0
Bae Doona,0.0
Jim Sturgess,0.0
Ben Whishaw,0.0
Zhou Xun,0.0
David Gyasi,0.0
Robert Fyfe,0.0
Martin Wuttke,0.0
Tom Tykwer,0.0
Tim Robbins,0.0
Bob Gunton,0.0
William Sadler,0.0
Clancy Brown,0.0
Gil Bellows,0.0
Mark Rolston,0.0
James Whitmore,0.0
Frank Darabont,0.0
Marlon Brando,0.0
Richard S. Castellano,0.0
Sterling Hayden,0.0
Richard Conte,0.0
Al Lettieri,0.0
Abe Vigoda,0.0
Gianni Russo,0.0
John Marley,0.0
Rudy Bond,0.0
Al Martino,0.0
Simonetta Stefanelli,0.0
Alex Rocco,0.0
Sofia Coppola,0.0
Francis Ford Coppola,0.0
Mario Puzo,0.0
Stephen King,0.0
Lee Strasberg,0.0
Michael V. Gazzo,0.0
G. D. Spradlin,0.0
Richard Bright,0.0
Will Arnett,0.0
Alison Brie,0.0
Nick Offerman,0.0
Charlie Day,0.0
Dave Franco,0.0
Will Forte,0.0
Phil Lord,0.0
Dan Hageman,0.0
Kevin Hageman,0.0
Chris Miller,0.0
Joel Kinnaman,0.0
Michael Keaton,0.0
Jay Baruchel,0.0
Abbie Cornish,0.0
Jackie Earle Haley,0.0
Marianne Jean-Baptiste,0.0
Aimee Garcia,0.0
José Padilha,0.0
Nick Schenk,0.0
Joshua Zetumer,0.0
Joaquin Phoenix,0.0
Rooney Mara,0.0
Olivia Wilde,0.0
Portia Doubleday,0.0
Sam Jaeger,0.0
Spike Jonze,0.0
Bill Hader,0.0
Kristen Wiig,0.0
Brian Cox,0.0
Matthew McConaughey,0.0
Jennifer Garner,0.0
Dallas Roberts,0.0
Steve Zahn,0.0
Kevin Rankin,0.0
Griffin Dunne,0.0
Denis O'Hare,0.0
Jean-Marc Vallée,0.0
Craig Borten,0.0
Melisa Wallack,0.0
Chiwetel Ejiofor,0.0
Michael Fassbender,0.0
Sarah Paulson,0.0
Benedict Cumberbatch,0.0
Garret Dillahunt,0.0
Michael K. Williams,0.0
Paul Giamatti,0.0
Alfre Woodard,0.0
Taran Killam,0.0
Bryan Batt,0.0
Steve McQueen,0.0
John Ridley,0.0
Sharlto Copley,0.0
Alice Braga,0.0
Diego Luna,0.0
Wagner Moura,0.0
Faran Tahir,0.0
Jose Pablo Cantillo,0.0
Maxwell Perry Cotton,0.0
Adrian Holmes,0.0
Talisa Soto,0.0
Michael Shanks,0.0
Carly Pope,0.0
Terry Chen,0.0
Neill Blomkamp,0.0
Simon Kinberg,0.0
Josh Hutcherson,0.0
